stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,1,"Bremerton Transportation Center (BTC)",,47.562924,-122.625043,,,,,,0
2,100,"Almira Dr at Nome",,47.598070,-122.623919,,,,,,0
3,1000,"Colchester at Southworth",,47.533861,-122.549686,,,,,,0
4,1001,"Southworth at McGregor",,47.528368,-122.548661,,,,,,0
5,1002,"Southworth at Banner",,47.523170,-122.545624,,,,,,0
6,1003,"Southworth at Anderson",,47.522045,-122.537525,,,,,,0
7,1004,"Southworth at Lasada",,47.522387,-122.529045,,,,,,0
8,1005,"Southworth at the Post Office",,47.522314,-122.522615,,,,,,0
9,1006,"Southworth & Olympiad",,47.516389,-122.516958,,,,,,0
10,1007,"Harper Church Park & Ride (Sedgwick at Wilson Creek)",,47.504435,-122.515672,,,,,,0
11,1008,"Southworth at Olympiad",,47.516463,-122.516907,,,,,,0
12,1009,"Southworth at Cornell",,47.522517,-122.529157,,,,,,0
13,101,"Almira Dr at Hope",,47.600513,-122.623760,,,,,,0
15,1011,"Southworth at McGregor",,47.527403,-122.548343,,,,,,0
16,1012,"Colchester at Southworth",,47.533776,-122.549790,,,,,,0
17,1013,"Colchester at Yukon Harbor",,47.536305,-122.545643,,,,,,0
18,1014,"Colchester at Haida",,47.540814,-122.541903,,,,,,0
19,1015,"Colchester at Perelli",,47.542596,-122.541379,,,,,,0
20,1016,"Colchester at Prichard",,47.545807,-122.541361,,,,,,0
21,1017,"Colchester at Miracle Mile",,47.548918,-122.542282,,,,,,0
22,1018,"Colchester at Main (Post Office)",,47.554899,-122.545044,,,,,,0
23,1019,"Madrone at Alaska",,47.553454,-122.551182,,,,,,0
24,102,"Almira Dr at Hollis",,47.602613,-122.623695,,,,,,0
25,1020,"Madrone at Chester",,47.553632,-122.553524,,,,,,0
26,1021,"California at Stanley",,47.550258,-122.556820,,,,,,0
27,1022,"California at Raintree",,47.547024,-122.556801,,,,,,0
28,1023,"California at Van Buren",,47.544416,-122.556855,,,,,,0
29,1024,"California at Polk",,47.542891,-122.556893,,,,,,0
30,1025,"California at Fillmore",,47.541343,-122.556865,,,,,,0
31,1026,"California at Legrand",,47.534517,-122.556989,,,,,,0
32,1027,"Mile Hill at Nebraska",,47.534121,-122.562432,,,,,,0
33,1028,"Mile Hill at Woods",,47.534042,-122.568139,,,,,,0
34,1029,"Mile Hill at Saddle Club",,47.534086,-122.584813,,,,,,0
35,1030,"Mile Hill at Baby Doll",,47.534102,-122.590223,,,,,,0
36,1031,"Mile Hill at Village Ln",,47.534115,-122.594798,,,,,,0
37,1032,"Mile Hill at Harrison",,47.534022,-122.602564,,,,,,0
38,1033,"Mile Hill at Payseno",,47.534072,-122.606921,,,,,,0
39,1034,"Bucklin Hill at Mickelberry",,47.650436,-122.682619,,,,,,0
40,1036,"Ridgetop at Cranway Ln",,47.654051,-122.679294,,,,,,0
41,1037,"Randall Way at Kitsap Mall Blvd. (PSBC)",,47.659156,-122.694598,,,,,,0
42,1044,"Front at Asgard Apts",,47.740830,-122.649619,,,,,,0
43,1045,"Bucklin Hill at Silverdale Plaza",,47.650654,-122.691072,,,,,,0
44,1046,"Charleston Gate (PSNS)",,47.558953,-122.653296,,,,,,0
45,1047,"Bloedel Reserve",,47.708124,-122.548040,,,,,,0
47,1049,"Indianola Clubhouse",,47.748051,-122.525620,,,,,,0
